City,CityID,Area,Address,TransDate,Year,Type,Price,lat,lng
臺北市,A,士林區,臺北市士林區社中街331~360號,2016/11/22,2016,公寓(5樓含以下無電梯),351345,25.092261,121.5048974
臺北市,A,大安區,臺北市大安區大安路一段211~240號,2016/8/28,2016,華廈(10層含以下有電梯),835640,25.035178,121.5461606
臺北市,A,大安區,臺北市大安區仁愛路四段300巷26弄1~30號,2016/11/5,2016,華廈(10層含以下有電梯),839940,25.0382984,121.5440218
臺北市,A,大安區,臺北市大安區和平東路三段1~30號,2016/10/23,2016,住宅大樓(11層含以上有電梯),803269,25.0271164,121.5467498
臺北市,A,大安區,臺北市大安區信義路四段241~270號,2016/11/6,2016,住宅大樓(11層含以上有電梯),790403,25.0334328,121.5535568
臺北市,A,士林區,臺北市士林區福港街160巷1~30號,2016/11/20,2016,華廈(10層含以下有電梯),553640,25.0871199,121.5175393
臺北市,A,南港區,臺北市南港區興華路121~150號,2016/10/31,2016,住宅大樓(11層含以上有電梯),628668,25.0569559,121.6057342
臺北市,A,松山區,臺北市松山區三民路29巷1~30號,2016/10/11,2016,住宅大樓(11層含以上有電梯),383369,25.055365,121.5639326
臺北市,A,信義區,臺北市信義區中坡北路1~30號,2016/11/21,2016,住宅大樓(11層含以上有電梯),680397,25.044336,121.580786
臺北市,A,內湖區,臺北市內湖區星雲街168巷1~30號,2016/11/22,2016,住宅大樓(11層含以上有電梯),638483,25.0805676,121.5966782
臺北市,A,中山區,臺北市中山區長安東路二段151~180號,2016/11/8,2016,住宅大樓(11層含以上有電梯),551041,25.0482059,121.5412075
臺北市,A,中正區,臺北市中正區杭州南路一段91~120號,2016/11/20,2016,套房(1房1廳1衛),888337,25.0389041,121.5254693
臺北市,A,北投區,臺北市北投區三合街一段36巷1~30號,2016/12/1,2016,華廈(10層含以下有電梯),578304,25.1272221,121.506379
臺北市,A,北投區,臺北市北投區三合街一段36巷1~30號,2016/11/24,2016,華廈(10層含以下有電梯),605015,25.1272221,121.506379
臺北市,A,北投區,臺北市北投區中央北路三段236巷1~30號,2016/9/26,2016,公寓(5樓含以下無電梯),310506,25.1361734,121.4800498
臺北市,A,北投區,臺北市北投區中和街525巷8弄1~30號,2016/10/26,2016,公寓(5樓含以下無電梯),289845,25.144667,121.4933631
臺北市,A,士林區,臺北市士林區後街21巷1~30號,2016/11/11,2016,套房(1房1廳1衛),543560,25.0981874,121.5248315
臺北市,A,北投區,臺北市北投區泉源路31~60號,2016/11/13,2016,住宅大樓(11層含以上有電梯),261630,25.136727,121.50415
臺北市,A,北投區,臺北市北投區中央北路三段40巷19弄1~30號,2016/11/27,2016,住宅大樓(11層含以上有電梯),554555,25.1390481,121.4853402
臺北市,A,士林區,臺北市士林區雨農路1~30號,2016/10/31,2016,公寓(5樓含以下無電梯),460489,25.0977674,121.5320823
臺北市,A,大安區,臺北市大安區和平東路三段308巷39弄1~30號,2016/10/18,2016,公寓(5樓含以下無電梯),819580,25.0192326,121.5553837
臺北市,A,大安區,臺北市大安區安和路二段91~120號,2016/11/7,2016,住宅大樓(11層含以上有電梯),950188,25.0299057,121.5519876
臺北市,A,大安區,臺北市大安區忠孝東路三段151~180號,2016/12/1,2016,住宅大樓(11層含以上有電梯),696995,25.0417641,121.5382688
臺北市,A,文山區,臺北市文山區興隆路一段91~120號,2016/11/9,2016,公寓(5樓含以下無電梯),325752,25.0029623,121.5415348
臺北市,A,大安區,臺北市大安區仁愛路三段121~150號,2016/10/12,2016,住宅大樓(11層含以上有電梯),1239147,25.0382972,121.54191
臺北市,A,內湖區,臺北市中山區民權東路六段218巷1~30號,2016/11/15,2016,華廈(10層含以下有電梯),618264,25.0661671,121.5775289
臺北市,A,中山區,臺北市中山區民生東路一段1~30號,2016/11/30,2016,套房(1房1廳1衛),486860,25.0582153,121.524294
臺北市,A,中山區,臺北市中山區民生東路二段115巷25弄1~30號,2016/11/10,2016,公寓(5樓含以下無電梯),471256,25.0594718,121.5317982
臺北市,A,中山區,臺北市中山區中原街1~30號,2016/11/29,2016,套房(1房1廳1衛),424053,25.0551651,121.5289057
